epoch,time_s,lr,gpu_peak_mem_gb,train_loss,train_loss_base,train_mse,train_mass,train_solid,train_tv,train_loss_plume_focus,train_loss_active_mae,train_active_fraction,train_high_fraction,val_loss,val_loss_base,val_mse,val_mass,val_solid,val_tv,val_loss_plume_focus,val_loss_active_mae,val_active_fraction,val_high_fraction,val_rmse,val_mae,val_r2,val_rel_err,val_plume_rmse,val_plume_mae,val_plume_r2,val_plume_rel_err,val_plume_voxel_fraction,val_acc,val_macro_f1,val_weighted_f1,selection_cases,selection_rmse,selection_mae,selection_plume_rmse,selection_plume_mae,selection_acc,selection_macro_f1,selection_weighted_f1,selection_metric,selection_score
33,277.19,2.804e-04,31.514,0.014248,0.004619,0.003936,0.005861,0.000887,0.000733,0.003391,0.041588,0.000694,0.000692,0.01223,0.003313,0.002778,0.004567,0.000712,0.000632,0.003017,0.039336,0.000538,0.000536,17753.7598,64.4628,-5.6e-05,1.305508,727014.75,79942.9453,-0.013028,0.965325,0.000596,0.989377,0.189215,0.994169,16,2436.838,7.9568,134719.2336,25815.1461,0.993546,0.18676,0.99644,selection_plume_rmse,134719.233559
34,277.59,2.792e-04,31.514,0.014021,0.004437,0.00379,0.005511,0.000887,0.000713,0.003376,0.041392,0.000687,0.000686,0.01271,0.003392,0.002855,0.004575,0.000729,0.000612,0.002933,0.042569,0.000538,0.000536,17753.2969,61.8097,-4e-06,1.251778,727017.625,80330.1094,-0.013036,0.97,0.000596,0.988748,0.189701,0.993857,16,2424.5577,5.9433,134675.6015,25894.6355,0.99452,0.184321,0.99693,selection_plume_rmse,134675.601517
35,272.57,2.780e-04,31.514,0.013479,0.004281,0.003656,0.005306,0.000871,0.000695,0.003239,0.039728,0.000684,0.000682,0.011632,0.003974,0.003381,0.005106,0.000757,0.000668,0.002424,0.034893,0.000538,0.000536,17755.1289,72.1457,-0.000211,1.461103,727011.125,79872.9844,-0.013018,0.96448,0.000596,0.987884,0.186991,0.993406,16,2453.8245,12.4339,134848.0384,25724.2244,0.99061,0.184609,0.994912,selection_plume_rmse,134848.038406
36,275.02,2.767e-04,31.514,0.014218,0.004474,0.003827,0.005493,0.000905,0.000701,0.003499,0.04163,0.000688,0.000686,0.012329,0.00393,0.003365,0.004788,0.000798,0.000642,0.002752,0.037642,0.000538,0.000536,17754.7969,69.7522,-0.000173,1.41263,727011.3125,80138.1484,-0.013018,0.967682,0.000596,0.988189,0.186645,0.993569,16,2444.6661,7.8238,134856.0414,25770.5171,0.994051,0.199324,0.996684,selection_plume_rmse,134856.041382
37,276.0,2.755e-04,31.514,0.013578,0.004233,0.003622,0.005174,0.000867,0.000686,0.003282,0.040425,0.000703,0.000701,0.013178,0.00455,0.003852,0.006079,0.00082,0.00073,0.002807,0.03881,0.000538,0.000536,17754.0645,70.2079,-9.1e-05,1.421859,727015.125,80135.1953,-0.013029,0.967646,0.000596,0.985048,0.18315,0.991954,16,2458.3675,18.8019,134609.5807,25561.4199,0.987355,0.178871,0.993228,selection_plume_rmse,134609.58065
38,276.77,2.741e-04,31.514,0.013591,0.004381,0.003744,0.005427,0.000877,0.0007,0.003242,0.039784,0.000699,0.000698,0.012599,0.003485,0.002943,0.004639,0.00072,0.000609,0.002961,0.041024,0.000538,0.000536,17753.8574,65.047,-6.7e-05,1.31734,727019.6875,80067.5547,-0.013042,0.96683,0.000596,0.988606,0.187365,0.993785,16,2428.3495,6.3337,134683.4266,25898.0626,0.99436,0.182695,0.996841,selection_plume_rmse,134683.426613
39,285.51,2.728e-04,31.514,0.013704,0.004254,0.003636,0.005236,0.000868,0.000696,0.003292,0.04105,0.000694,0.000692,0.012957,0.004702,0.003982,0.006302,0.000823,0.00074,0.002717,0.03692,0.000538,0.000536,17754.0664,71.6896,-9.1e-05,1.451865,727005.5,80027.3359,-0.013002,0.966344,0.000596,0.984862,0.182612,0.991866,16,2458.8804,16.1164,134438.5467,25347.9005,0.990053,0.184624,0.994579,selection_plume_rmse,134438.546745
40,266.95,2.714e-04,31.514,0.012718,0.003907,0.003349,0.004681,0.000834,0.000646,0.003032,0.038532,0.000698,0.000696,0.011266,0.003165,0.002702,0.003834,0.000737,0.000541,0.002428,0.037821,0.000538,0.000536,17754.3203,65.8116,-0.000119,1.332823,727013.0,79969.1875,-0.013023,0.965642,0.000596,0.991304,0.193156,0.995152,16,2456.3122,10.8024,134629.5023,25656.3636,0.99358,0.191186,0.99641,selection_plume_rmse,134629.50235
41,282.22,2.701e-04,31.514,0.013261,0.00413,0.003538,0.00497,0.000887,0.000662,0.003192,0.03959,0.000699,0.000698,0.011183,0.003244,0.002792,0.003714,0.000753,0.000553,0.002315,0.037494,0.000538,0.000536,17754.5645,66.8744,-0.000147,1.354347,727002.3125,80001.2109,-0.012993,0.966028,0.000596,0.990951,0.194049,0.994977,16,2439.368,6.8284,134688.5275,25720.4131,0.996551,0.204255,0.997965,selection_plume_rmse,134688.527489
42,268.48,2.686e-04,31.514,0.012432,0.003705,0.003179,0.00437,0.000829,0.000616,0.002917,0.038736,0.000687,0.000685,0.011319,0.002419,0.002047,0.00304,0.000639,0.000472,0.00264,0.041729,0.000538,0.000536,17752.9844,57.6953,3.1e-05,1.168452,727008.875,80252.9844,-0.013012,0.969069,0.000596,0.992885,0.204673,0.995977,16,2428.4011,6.3556,134543.1252,25572.6496,0.996142,0.205276,0.997758,selection_plume_rmse,134543.125206
